item,itemLabel,party,partyLabel,constituency,constituencyLabel,startDate,endDate,gender,psid
Q105649282,Felix Mhona,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q105649282-D7658CA1-0B5A-438A-BCA8-AE03A57B05DB
Q107491736,Peter Haritatos,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q107491736-CF577CFF-7358-4057-8451-04FF0D240CD7
Q107534597,Bekithemba Mpofu,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q107534597-358F82A0-2CAB-4DFB-BC71-701EF7094134
Q111270219,Davis Marapira,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111270219-798263C4-91DD-461E-80FB-7415C8044948
Q111281516,Abednico Bhebhe,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111281516-E53D457E-950D-4CE6-A570-20201930B1D5
Q111281517,Abednico Ncube,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281517-417B764E-DD6F-4565-B5FA-8054616A1F6B
Q111281518,Abigail Damasane,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281518-928DE694-7586-443A-973A-CFA3431692C1
Q111281519,Adam Chimwamurombe,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281519-F0C3D045-B837-4D02-B104-7381175A1552
Q111281520,Albert Mhlanga,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111281520-DA10311D-9C9B-485D-A3CE-76A0ABA5C7B6
Q111281521,Aldrin Musiiwa,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281521-90AFFAC2-9780-4260-B78E-3E16016A3041
Q111281522,Alexio Musundire,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111281522-840DAAB5-8A83-48D7-AD27-EC6BFAD346BE
Q111281523,Alfred Mufunga,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281523-61C5B868-A760-4312-BFAA-705D9A9F26A7
Q111281606,Anastancia Ndhlovu,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281606-1CD270BB-D25B-493E-9399-33E08E65EDB9
Q111281607,Anele Ndebele,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111281607-BB4E7E36-494F-458C-A21C-76A528C3A23A
Q111281608,Aqualina Katsande,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281608-BE531815-982C-4DA5-9EE8-2D2654F9DD8D
Q111281609,Batsirayi Pemhenayi,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281609-7C3A1949-3446-4E95-BA4A-2A82C512309A
Q111281610,Bekithemba Nyathi,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111281610-580AF376-4204-4D39-A87F-1BAF2715A088
Q111281611,Berta Chikwama,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281611-C63E1C20-3407-4B38-929D-3E862C77DF49
Q111281612,Biata B. Nyamupinga,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281612-9DD99C10-D726-4003-BBA8-6AA40D53631B
Q111281613,Biggie J. Matiza,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281613-744A905D-1B04-4490-8CDF-B0445DC25D9A
Q111281614,Blessed Runesu,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281614-96D62F1E-FE9E-4960-A4B8-BB081FC82469
Q111281615,Cephas Sindi,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281615-8C631F43-087C-4C39-85D6-494DD7E96B44
Q111281616,Chenayimoyo D. Francis Nhema,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281616-0F7ECA4E-1263-4C1D-9297-E7DBD3AEE5ED
Q111281617,Christopher Chigumba,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281617-65198854-D427-49FD-A17C-A23292EC1150
Q111281618,Christopher Chitindi,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281618-07E4B24E-A7DC-4B74-88B5-EFE6065CD08D
Q111281619,Chriswell Mutematsaka,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281619-B398F9AB-B68B-4FEC-9138-7E2D37768FA9
Q111281620,Chuma K. Bhasikiti,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281620-4F857FFF-CA4B-49F9-BD0F-D72300EA1F73
Q111281621,Clifford Sibanda,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281621-BB325CC0-7D4C-4746-B89C-9B7EE64D6729
Q111281622,Costa Machingauta,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111281622-227DF896-32F2-40B8-8272-531814479D23
Q111281623,Daniel M. Ncube,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281623-0AF0C134-CC49-45B9-9755-825B3C223379
Q111281624,David Chapfika,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281624-A5A1CB63-633C-4CFE-A3B9-9EB37BEC2C6F
Q111281625,Denford Masiya,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281625-5E4E6FB5-8D5F-4D5A-B911-BEA2216F6840
Q111281626,Dextor T. Nduna,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281626-60D3A175-80BB-4A17-A9C0-13EF9CD0DD8A
Q111281627,Dingilizwe Tshuma,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111281627-EE2D57C5-5E4D-4FCA-B3D4-05B7AC96584B
Q111281628,Dorcas Sibanda,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q111281628-BE4D0EA8-9623-4AD2-8524-CDCE39E6E336
Q111281629,Dorothy Mangami,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281629-C1CA2641-7CCD-4739-B148-0843B7ACAC27
Q111281630,Dubeko Sibanda,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111281630-50F5E54C-C0A8-403B-9B34-21FC424B7B50
Q111281631,Edgar Chidavaenzi,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281631-22EC9B9E-EB11-4A9B-BDF9-3D42A6D93D46
Q111281633,Edgar Mbwembwe,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281633-31FF07FF-B17C-4BFF-90DC-B7F407F8746B
Q111281634,Edmond Mhere,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281634-D4EDC551-1B7D-47A4-AFD3-2CE24380BC03
Q111281635,Edson Gumbo,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281635-DA0FAF55-5939-4376-AB6B-2BAB512E0D78
Q111281636,Enock Porusingazi,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281636-45A8F2B1-600D-40C6-A690-7B69A5D2F54B
Q111281637,Ephraim Gwanonodza,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281637-31FBAAC0-3A1F-4DF1-A8A4-8E138B81E917
Q111281638,Epmarcus Kanhanga,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281638-F0CC8BB8-175F-4D05-8570-0C95502A1808
Q111281639,Erick Murai,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111281639-99A2D078-E008-4DA7-8F72-754E3146CAA1
Q111281640,Ezira Ruvai,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281640-42FE33DC-AD28-4466-A50F-04E93BA15115
Q111281641,Fani Phanuel Phiri,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281641-452CED3D-7D5C-4DC2-B2BD-D04D43026BFA
Q111281642,Francis Muchenje,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281642-0F6F43DC-33BD-4E99-BFAF-C091F13AE25F
Q111281643,Francis Mukwangwariwa,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281643-7013D6C2-D750-4E40-97B9-1FD71130AAC4
Q111281644,Fred Moyo,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281644-558619C6-A95F-4D79-AD4F-9C9E60B162F9
Q111281645,Fungai J Majome,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q111281645-E9973A78-DFD1-4AFB-9933-80288AC987C4
Q111281646,Getrude Chibagu,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281646-8F6864B7-DA74-4CA6-9605-4B48F3D797EA
Q111281647,Getrude Hungwa,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281647-14DBFA36-3E44-4D72-9BAC-1B7E46B1B21F
Q111281648,Gift Chimanikire,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111281648-649CCB16-F0EB-4B9E-8DAD-8A789C352B95
Q111281649,Gladys Mathe,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q111281649-3E450E60-1CAC-4DE0-ADE9-59454254B5A2
Q111281650,Godfrey Gandawa,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281650-B4A86827-3059-428C-B6A9-3BE950E4350C
Q111281651,Godfrey N Malaba,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281651-5D3BDC53-111F-46D7-805D-129F74009A8F
Q111281652,Godfrey Sithole,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111281652-62C99065-5146-4E15-8B66-F3F7DFD81B80
Q111281653,Harris Ncube,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281653-47DFA03E-0AE9-420B-9F1D-C7EDD733C37D
Q111281654,Hazvineyi Z Makari,,,,,2013-09-17,2018-07-29,,Q111281654-7CA128F7-C305-40EC-BFB1-998C69D62D21
Q111281655,Innocent Gonese,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111281655-A624B014-B040-4273-A0A4-FD8CA2204B12
Q111281656,Innocent Pedzisai,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281656-3553461B-0ACE-4896-8C52-5E8704D17D92
Q111281657,Irene Zindi,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281657-3D6D44C8-041C-42EB-A1D9-FFD6938562E7
Q111281658,Iris Chiratidzo Mabuwa,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281658-4EB45536-BD28-43EF-BFFA-8FE2B50B4EEF
Q111281659,Isaac Mackenzie,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281659-E6945003-6593-4C90-AD37-FBBB4F909924
Q111281660,Jaison Passade,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281660-D719EADA-D989-4A39-AED5-740952B99983
Q111281661,James Maridadi,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111281661-9D3056E7-A05A-4FCB-BAE4-BA3FD83EF092
Q111281662,Jeffrey Runzirwai,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281662-33B17091-D524-4CD4-A0E8-A8F70A359A6F
Q111281663,Jeppy Jaboon,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281663-A051D719-85A8-41E4-9292-A23131AE48F2
Q111281664,John Holder,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281664-2A15ADE6-6268-48A2-9907-D53ACB3B1250
Q111281665,Jonathan Samukange,Q327591,சுயே,,,2013-09-17,2018-07-29,male,Q111281665-C383BBA2-CAED-4AF4-8477-87538AE9DE17
Q111281666,Joseph Mapiki,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281666-C8C44C80-C929-4A85-AC0D-D0B48913D16F
Q111281667,Joseph Tshuma,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281667-7240CD4C-D69F-415D-8889-C7114386D0B0
Q111281668,Josephat Madubeko,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281668-05607F67-6DBF-453F-84D2-719BE7108393
Q111281669,Josephine Value Chitembwe,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q111281669-4E106775-C1CF-4E89-9F0B-2E880060F437
Q111281670,Judith Muzhavazhe,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q111281670-AA068FA4-C53E-459F-9F98-2B7FA0E3D606
Q111281671,Justice Mayor Wadyajena,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281671-24E90436-ACBA-4C09-B7FC-3C131D7A1789
Q111281672,Kalitso Gwanetsa,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281672-14A4957E-60DB-45E2-A18F-F99429064C50
Q111281673,Kennedy Matimba,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281673-65ACE531-C931-4D1E-BABE-9AACC7D32C0B
Q111281674,Kenneth S. Musanhi,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281674-FCBB1DD3-6377-424F-903E-111F41402F51
Q111281675,Kindness Paradza,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281675-694DE2DA-26F1-498E-9EC2-7A9B7A94D7FC
Q111281676,Kizito Chivamba,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281676-9D6FF16D-93A3-4E57-97CB-CC11C1A45F7B
Q111281677,Kudzanayi Chipanga,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281677-998E10DF-6045-41F0-90A0-CA9247D65AEE
Q111281678,Ladislus Ndoro,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281678-432F4B58-CC69-4EE6-8575-BFF1E6946DF3
Q111281679,Lamson Moyo,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281679-6C3773BE-406C-4D1B-A973-A19E1EE6C9C4
Q111281680,Leonard Chikomba,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281680-92398F76-FDD1-43F5-BC76-F155A482DF6D
Q111281681,Lilian Zemura,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281681-AB9903B7-E7B6-419E-B8B4-627731277B75
Q111281682,Lovemore Matuke,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281682-43C563A3-C43F-42D0-84B0-77A3E84CE6F4
Q111281683,Lucia Matibenga,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q111281683-C06601F8-289A-406C-B644-F25B6D2543FA
Q111281684,Luke Musamvu,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281684-512F8171-C272-4093-8770-F189E64EB46A
Q111281685,Lungisani Nleya,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281685-65445F28-061D-493B-90A8-E77965C0A2ED
Q111281687,Mabel Kaundikiza,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281687-86601EC7-75CD-495F-906D-C7BCE5C7E103
Q111281688,Mabel Matirangano Nkatazo,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281688-D5DA5200-9052-4D29-9F6B-88F8E41A238E
Q111281689,Madodana Sibanda,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281689-78ABC7CD-137E-48F7-9D0B-AA8ECD924958
Q111281690,Mafios Vutete,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281690-D8CBD544-1A7B-47F7-8975-943372181EC7
Q111281691,Maideyi Mpala,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q111281691-C6AF9461-DCBD-46B2-B9F2-3CF0B7EC7D01
Q111281692,Makhosini Hlongwane,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281692-66E3B082-6348-49BE-892C-1DFA2A2B6059
Q111281693,Malach Nkomo,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281693-724500BA-FB1C-4223-8554-C3D1B690522A
Q111281694,Mandi M. Chimene,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281694-11785150-4138-42D9-B5C9-FA0F1BA47717
Q111281695,Mapetere D. V. Mawere,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281695-580C3A88-35AE-4703-A6D8-5DE1078B3AC7
Q111281696,Margaret Matienga,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q111281696-94BD2108-445A-4B79-819E-00639B21F3A8
Q111281698,Martin Khumalo,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281698-FA2940D2-B491-4BEB-9ADB-79415E7F8FAB
Q111281700,Mathias S. Ndlovu,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281700-C798351D-94F8-48FA-B7EC-AA3666E0708B
Q111281701,Mathias Tongofa,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281701-9F25D3FC-39E9-41B5-90A0-60ECAD8A343C
Q111281702,Melenia Mahiya,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281702-07B61266-D167-4D7C-A642-F4A6F4ABE2DE
Q111281704,Metrine Mdau,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281704-49F902D6-5476-4B3C-B5A1-95513DAE1786
Q111281705,Michael Madanha,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281705-5A4D7DC7-9AC4-45CB-88D5-6B5091686931
Q111281706,Mike Gava,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281706-857A17FF-FA4A-4C07-BA04-F0B667B2CFD9
Q111281707,Miriam Makweya,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281707-E587BDAE-555A-4494-B6F1-D6BB2681CBF6
Q111281708,Monica Chigudu,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281708-4692684A-330F-463A-BAC0-FB5703322858
Q111281709,Moses Manyengawana,Q1146616,MDC–T,,,2013-09-17,2018-07-29,male,Q111281709-3CBE1372-394D-4D59-9861-E9C22D39E81C
Q111281710,Mthokozisi M. Mpofu,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281710-4A0E3C4D-4FF5-4421-BF4B-B8F0E852313B
Q111281711,Mubvumbi Mawere,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281711-D92D045F-992D-41D0-941C-5195029DC3F2
Q111281712,Munyaradzi Kereke,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281712-C3FE54D9-A6DE-4007-8611-D71F7FB3AED7
Q111281713,Never Khanye,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281713-8F1E78BA-29EB-4250-9DE5-178B33F87F34
Q111281714,Newton Kachepa,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281714-1AB0A89E-751D-4773-8E8C-CA68EA7DE0E6
Q111281715,Nomathemba Ndlovu,Q1146616,MDC–T,,,2013-09-17,2018-07-29,female,Q111281715-A3299A6F-0B98-4489-A8ED-3D072DFF4A20
Q111281716,Nomsa Jenifer Mlanga,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,female,Q111281716-D3E3F2F6-137C-4F82-8330-7BD087371FC2
Q111281717,Noveti Muponora,Q1910161,ZANU-PF,,,2013-09-17,2018-07-29,male,Q111281717-E10E81B4-045A-4096-B659-48A4D43E63B9
